DisNo.,Historic,Disaster Group,Disaster Subgroup,Disaster Type,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected
2000-0079-NAM,No,Natural,Hydrological,Flood,NAM,Namibia,Sub-Saharan Africa,Africa,"Mariental Rural, Mariental Urban districts (Hardap province)",,,No,No,No,,2000,2,0.0,2000,2,0.0,0,0,5000,0,5000
2000-0118-MWI,No,Natural,Hydrological,Flood,MWI,Malawi,Sub-Saharan Africa,Africa,"Chikwawa, Nsanje districts (Southern Region province), Karonga district (Northern Region province), Nkhotakota district (Central Region province)",,,No,No,No,,2000,3,0.0,2000,3,0.0,0,0,20000,0,20000
2000-0152-AGO,No,Natural,Hydrological,Flood,AGO,Angola,Sub-Saharan Africa,Africa,"Caxito village (Dande district, Bengo province)",,,No,No,No,,2000,3,27.0,2000,3,27.0,3,0,0,6000,6000
2000-0193-AGO,No,Natural,Hydrological,Flood,AGO,Angola,Sub-Saharan Africa,Africa,Porto Amboim district (Cuanza Sul province),,,No,No,No,,2000,4,10.0,2000,4,10.0,1,0,0,3000,3000
2000-0260-AGO,No,Natural,Hydrological,Flood,AGO,Angola,Sub-Saharan Africa,Africa,Ganda district (Benguela province),,,No,No,No,,2000,5,3.0,2000,5,3.0,11,11,0,0,11
2000-0364-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,"Sokoto North, Sokoto South districts (Sokoto province)",,,No,No,No,,2000,6,0.0,2000,6,0.0,0,0,0,250,250
2000-0399-ETH,No,Natural,Hydrological,Flood,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Nazareth city (East Shewa district, Oromia province), Region 14 district (Addis Ababa province)",,,No,No,No,,2000,6,29.0,2000,6,29.0,60,0,0,0,0
2000-0490-SOM,No,Natural,Hydrological,Flood,SOM,Somalia,Sub-Saharan Africa,Africa,"Mogadishu city (Banadir district, Banadir province)",,,No,No,No,,2000,7,10.0,2000,7,10.0,0,0,0,220000,220000
2000-0501-NER,No,Natural,Hydrological,Flood,NER,Niger,Sub-Saharan Africa,Africa,"Dosso, Maradi provinces",,,No,No,No,,2000,7,0.0,2000,7,0.0,2,3,4156,0,4159
2000-0511-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Cross River province,,,No,No,No,,2000,8,14.0,2000,8,14.0,4,0,0,1000,1000
2000-0530-MLI,No,Natural,Hydrological,Flood,MLI,Mali,Sub-Saharan Africa,Africa,Abeibara district (Kidal province),,,No,No,No,,2000,8,25.0,2000,8,25.0,15,0,0,0,0
2000-0547-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Zamfara province,,,No,No,No,,2000,8,15.0,2000,8,15.0,0,0,0,750,750
2000-0596-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Gusau district (Zamfara province),,,No,No,No,,2000,9,0.0,2000,9,0.0,0,0,0,2000,2000
2000-0628-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Kebbi province,,,No,No,No,,2000,9,23.0,2000,9,23.0,0,0,0,1000,1000
2000-0835-BDI,No,Natural,Hydrological,Flood,BDI,Burundi,Sub-Saharan Africa,Africa,"Bujumbura Rural, Bujumbura Mairie provinces",,,No,No,No,,2000,12,27.0,2000,12,27.0,0,0,0,500,500
2000-0841-MAR,No,Natural,Hydrological,Flood,MAR,Morocco,Northern Africa,Africa,"Tétouan, Tangiers, Chefchaouen, Larache districts (Tanger - Tétouan province), Settat, Khouribga districts (Chaouia - Ouardigha province), Kasba Tadla area (Béni Mellal district, Tadla - Azilal province)",,,No,No,No,,2000,12,22.0,2000,12,22.0,6,0,650,0,650
2001-0082-ZWE,No,Natural,Hydrological,Flood,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,"Centenary, Guruve districts (Mashonaland Central province), Tsholotsho district (Matabeleland province)",,,No,No,No,,2001,2,0.0,2001,2,0.0,13,0,30000,0,30000
2001-0091-ZMB,No,Natural,Hydrological,Flood,ZMB,Zambia,Sub-Saharan Africa,Africa,"Eastern, Northern, North-Western, Cooperbelt, Central, Lusaka provinces",,,No,No,No,,2001,2,0.0,2001,2,0.0,5,0,617900,0,617900
2001-0276-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,"oke-Ogun, Idimissa/olle-Oje, Ogbonmo, Oke-Idogbon, Ijebu-Owo, Post-Office, Oke-Ajama, Ilore, Iyere, Ishokun Oke, Ishokun Odo areas (Owo district, Ondo province)",,,No,No,No,,2001,5,0.0,2001,5,0.0,0,0,0,2000,2000
2001-0277-UGA,No,Natural,Hydrological,Flood,UGA,Uganda,Sub-Saharan Africa,Africa,Kasese province,,,No,No,No,,2001,5,0.0,2001,5,0.0,1,0,0,300,300
2001-0464-ETH,No,Natural,Hydrological,Flood,ETH,Ethiopia,Sub-Saharan Africa,Africa,Gambela province,,,No,No,No,,2001,7,0.0,2001,7,0.0,0,0,6000,0,6000
2001-0481-ZAF,No,Natural,Hydrological,Flood,ZAF,South Africa,Sub-Saharan Africa,Africa,City of Cape Town district (Western Cape province),,,Yes,No,No,,2001,7,3.0,2001,7,3.0,0,0,42356,0,42356
